"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"f1",1,4253337.09125304,4253337.09125304,813.951194045938,2.85111912089863e-112
"f2",1,1481143.37763061,1481143.37763061,283.442951948232,5.10582361925978e-52
"f3",1,693049.344992322,693049.344992322,132.627235929487,9.19529755997941e-28
"f4",1,753301.686288291,753301.686288291,144.157585885237,8.51975114162514e-30
"f5",1,1077.72211571572,1077.72211571572,0.206241166433883,0.649900701694428
"f6",1,653475.182896344,653475.182896344,125.054020874976,2.07835725706887e-26
"f1:f2",1,3917049.04636236,3917049.04636236,749.596535619016,2.46581324096388e-106
"f1:f3",1,5116.97414972271,5116.97414972271,0.979223402639358,0.322806110144462
"f1:f4",1,11436.2713900126,11436.2713900126,2.18853256951515,0.13958840666945
"f1:f5",1,528986.275904227,528986.275904227,101.230869237151,4.78155810269215e-22
"f1:f6",1,2461654.34335053,2461654.34335053,471.081047448381,8.73811800939492e-77
"f2:f3",1,594527.227609974,594527.227609974,113.773288226115,2.30881443517486e-24
"f2:f4",1,540774.103184732,540774.103184732,103.486678237078,1.81829744986112e-22
"f2:f5",1,2467189.29866686,2467189.29866686,472.14025893152,6.52664397977915e-77
"f2:f6",1,529719.395470311,529719.395470311,101.371164617787,4.5020576976777e-22
"f3:f4",1,1407932.46759422,1407932.46759422,269.43275093128,5.90427512948116e-50
"f3:f5",1,4087197.3187919,4087197.3187919,782.157413475061,2.25351612033975e-109
"f3:f6",1,1389805.51811218,1389805.51811218,265.963838907905,1.93788508120887e-49
"f4:f5",1,3944083.07597526,3944083.07597526,754.769974782478,8.01910754300876e-107
"f4:f6",1,1308594.9929265,1308594.9929265,250.422770206833,4.23168396824819e-47
"f5:f6",1,3916246.22041668,3916246.22041668,749.442900691176,2.54962603765914e-106
"f1:f2:f3",1,81.6299033505519,81.6299033505519,0.0156213241218702,0.900578798896065
"f1:f2:f4",1,703.355918007107,703.355918007107,0.134599580757071,0.713844644249121
"f1:f2:f5",1,654058.594407559,654058.594407559,125.165666974494,1.98447895716743e-26
"f1:f2:f6",1,1101.38141439561,1101.38141439561,0.210768791213585,0.646338696991139
"f1:f3:f4",1,180861.232860545,180861.232860545,34.6109920951721,6.83230021786183e-09
"f1:f3:f5",1,1586472.75761208,1586472.75761208,303.599589610539,6.2908336145515e-55
"f1:f3:f6",1,175015.574422938,175015.574422938,33.4923220807357,1.17569095822588e-08
"f1:f4:f5",1,1499261.31173161,1499261.31173161,286.910138719175,1.59494274400186e-52
"f1:f4:f6",1,146782.118845087,146782.118845087,28.0893515692061,1.65240907638486e-07
"f1:f5:f6",1,1482336.48912405,1482336.48912405,283.671274910622,4.72852694012776e-52
"f2:f3:f4",1,174181.809527581,174181.809527581,33.3327664382909,1.27047603623212e-08
"f2:f3:f5",1,174551.240813786,174551.240813786,33.4034636414688,1.22756538391707e-08
"f2:f3:f6",1,1588039.17902842,1588039.17902842,303.899352021759,5.70100063257173e-55
"f2:f4:f5",1,145708.248443606,145708.248443606,27.8838474963374,1.82851143211313e-07
"f2:f4:f6",1,1499942.415275,1499942.415275,287.040479914928,1.52682308045145e-52
"f2:f5:f6",1,4239750.25686616,4239750.25686616,811.351113254023,4.89207460490748e-112
"f3:f4:f5",1,2780879.59209653,2780879.59209653,532.170438392908,6.83902938468009e-84
"f3:f4:f6",1,683592.144288191,683592.144288191,130.817433498993,1.93107762605269e-27
"f3:f5:f6",1,83.9249441961188,83.9249441961188,0.0160605207330381,0.899198239410304
"f4:f5:f6",1,723.770736354075,723.770736354075,0.138506316906416,0.709907355676218
"f1:f2:f3:f4",1,118726.815368039,118726.815368039,22.7204736094916,2.37553244705234e-06
"f1:f2:f3:f5",1,1388705.75765228,1388705.75765228,265.753380314972,2.08311223241048e-49
"f1:f2:f3:f6",1,4087157.80315218,4087157.80315218,782.149851459298,2.25713723368757e-109
"f1:f2:f4:f5",1,1307750.9118518,1307750.9118518,250.26124038122,4.47774420297904e-47
"f1:f2:f4:f6",1,3943267.20017776,3943267.20017776,754.613842534946,8.29508482305766e-107
"f1:f2:f5:f6",1,7962759.09891062,7962759.09891062,1523.81462776303,6.37442253088751e-164
"f1:f3:f4:f5",1,822324.534869071,822324.534869071,157.366327354215,4.38807412043315e-32
"f1:f3:f4:f6",1,4116.45939295758,4116.45939295758,0.787757228325476,0.375149603763267
"f1:f3:f5:f6",1,595064.398937701,595064.398937701,113.87608544962,2.21100490971638e-24
"f1:f4:f5:f6",1,541424.008393157,541424.008393157,103.611049080269,1.72407888048852e-22
"f2:f3:f4:f5",1,4201.74114949593,4201.74114949593,0.804077399070342,0.370251697819813
"f2:f3:f4:f6",1,822996.624148238,822996.624148238,157.494943511258,4.17064322264153e-32
"f2:f3:f5:f6",1,4972.42981864986,4972.42981864986,0.951562291294278,0.32973143882974
"f2:f4:f5:f6",1,11479.2631952336,11479.2631952336,2.19675981095948,0.138848044641629
"f3:f4:f5:f6",1,118193.780601149,118193.780601149,22.6184679899818,2.50000621499604e-06
"f1:f2:f3:f4:f5",1,682830.801925397,682830.801925397,130.671737187608,2.05011459392222e-27
"f1:f2:f3:f4:f6",1,2782565.16693773,2782565.16693773,532.493002917003,6.2881763146012e-84
"f1:f2:f3:f5:f6",1,695264.026857855,695264.026857855,133.051054430163,7.73087743335807e-28
"f1:f2:f4:f5:f6",1,753605.375101313,753605.375101313,144.215702104731,8.32271213689977e-30
"f1:f3:f4:f5:f6",1,173689.756723637,173689.756723637,33.2386034413988,1.329980135491e-08
"f2:f3:f4:f5:f6",1,180354.483879395,180354.483879395,34.5140167251416,7.16104957416314e-09
"f1:f2:f3:f4:f5:f6",1,1407455.30775106,1407455.30775106,269.341437965541,6.0915266593503e-50
"Residuals",576,3009912.85777693,5225.54315586272,NA,NA
