f1,f2,f3,f4,f5,f6,time
1,-1,-1,1,1,1,7.144407180321139
1,-1,-1,1,1,1,7.057897937411856
1,-1,-1,1,1,1,7.013915474810528
1,-1,-1,1,1,1,7.293017679772782
1,-1,-1,1,1,1,7.072421900537371
1,-1,-1,1,1,1,7.20934025660291
1,-1,-1,1,1,1,7.050122520269059
1,-1,-1,1,1,1,7.039660349862076
1,-1,-1,1,1,1,7.316548177182976
1,-1,-1,1,1,1,7.725771441587952
-1,1,-1,1,1,-1,6.551080335043404
-1,1,-1,1,1,-1,10.321803072623112
-1,1,-1,1,1,-1,6.851184927493743
-1,1,-1,1,1,-1,6.993932975223189
-1,1,-1,1,1,-1,6.634633357861686
-1,1,-1,1,1,-1,6.827629234502852
-1,1,-1,1,1,-1,7.987184748233473
-1,1,-1,1,1,-1,6.53813982376767
-1,1,-1,1,1,-1,6.92951677076365
-1,1,-1,1,1,-1,6.795705775173514
-1,1,1,1,-1,1,6.954638864880987
-1,1,1,1,-1,1,6.856461984594587
-1,1,1,1,-1,1,6.962243464266207
-1,1,1,1,-1,1,6.871091294610546
-1,1,1,1,-1,1,7.29505641646263
-1,1,1,1,-1,1,6.812345094177479
-1,1,1,1,-1,1,7.164720378771857
-1,1,1,1,-1,1,6.6052979209482015
-1,1,1,1,-1,1,6.6052979209482015
-1,1,1,1,-1,1,6.656726524178391
1,1,-1,-1,1,-1,6.80128303447162
1,1,-1,-1,1,-1,6.822197390620491
1,1,-1,-1,1,-1,7.328437352895162
1,1,-1,-1,1,-1,7.259116128097101
1,1,-1,-1,1,-1,7.118826249062078
1,1,-1,-1,1,-1,7.057036981697891
1,1,-1,-1,1,-1,7.126890808898808
1,1,-1,-1,1,-1,7.218176838403408
1,1,-1,-1,1,-1,6.859614903654202
1,1,-1,-1,1,-1,6.779921907472252
-1,-1,1,-1,1,-1,7.02197642307216
-1,-1,1,-1,1,-1,6.744059186311348
-1,-1,1,-1,1,-1,6.878326468291325
-1,-1,1,-1,1,-1,7.158513997329321
-1,-1,1,-1,1,-1,7.193685818395112
-1,-1,1,-1,1,-1,8.931287626222456
-1,-1,1,-1,1,-1,7.232010331664759
-1,-1,1,-1,1,-1,6.913737350659685
-1,-1,1,-1,1,-1,7.5126175446745105
-1,-1,1,-1,1,-1,6.926577033222725
-1,1,1,-1,-1,-1,9.203819154985917
-1,1,1,-1,-1,-1,6.7661917146603505
-1,1,1,-1,-1,-1,6.831953565565855
-1,1,1,-1,-1,-1,6.81783057145415
-1,1,1,-1,-1,-1,6.963189985870238
-1,1,1,-1,-1,-1,6.920671504248683
-1,1,1,-1,-1,-1,6.769641976852503
-1,1,1,-1,-1,-1,6.898714534329988
-1,1,1,-1,-1,-1,6.755768921984255
-1,1,1,-1,-1,-1,6.88653164253051
1,-1,-1,-1,-1,-1,7.0967213784947605
1,-1,-1,-1,-1,-1,6.848005274576363
1,-1,-1,-1,-1,-1,7.002155954403621
1,-1,-1,-1,-1,-1,6.697034247666484
1,-1,-1,-1,-1,-1,7.347299700743164
1,-1,-1,-1,-1,-1,6.887552571664617
1,-1,-1,-1,-1,-1,7.066466970136958
1,-1,-1,-1,-1,-1,6.824373670043086
1,-1,-1,-1,-1,-1,6.821107472256465
1,-1,-1,-1,-1,-1,7.003065458786462
-1,1,1,1,1,1,8.161089512845797
-1,1,1,1,1,1,7.053585727193677
-1,1,1,1,1,1,7.017506142941256
-1,1,1,1,1,1,7.04141166379481
-1,1,1,1,1,1,7.106606137727303
-1,1,1,1,1,1,7.21890970761906
-1,1,1,1,1,1,7.02108396428914
-1,1,1,1,1,1,6.961296045910167
-1,1,1,1,1,1,7.069874128458572
-1,1,1,1,1,1,7.7025561132685825
1,-1,-1,1,-1,-1,7.333023014386481
1,-1,-1,1,-1,-1,6.874198495453294
1,-1,-1,1,-1,-1,6.951772164398911
1,-1,-1,1,-1,-1,7.696667081526462
1,-1,-1,1,-1,-1,6.892641641172089
1,-1,-1,1,-1,-1,6.733401891837359
1,-1,-1,1,-1,-1,7.170888478512505
1,-1,-1,1,-1,-1,7.176254532017144
