"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",118.592962892534,2.85743087073607,41.5033532769193,3.07642463349373e-175
"f1",81.5220166892532,2.85743087073607,28.5298298986506,2.85111912089896e-112
"f2",-48.1070319968696,2.85743087073607,-16.8357640737875,5.10582361925957e-52
"f3",-32.9072879701519,2.85743087073607,-11.5163898826623,9.19529755997868e-28
"f4",-34.3079274341289,2.85743087073607,-12.0065642831426,8.51975114162514e-30
"f5",-1.29766744807974,2.85743087073607,-0.454137827574272,0.649900701694431
"f6",-31.9539508242023,2.85743087073607,-11.1827555135117,2.07835725706886e-26
"f1:f2",-78.2329159301964,2.85743087073607,-27.3787606662357,2.46581324096395e-106
"f1:f3",-2.82759122026889,2.85743087073607,-0.989557175022928,0.322806110144462
"f1:f4",-4.22719458351453,2.85743087073607,-1.47936897679894,0.13958840666945
"f1:f5",28.749627060196,2.85743087073607,10.0613552385924,4.78155810269232e-22
"f1:f6",-62.0188270727946,2.85743087073607,-21.7044015685386,8.73811800939592e-77
"f2:f3",-30.4786612754003,2.85743087073607,-10.6664562168564,2.30881443517484e-24
"f2:f4",-29.0681877010959,2.85743087073607,-10.1728402246904,1.81829744986102e-22
"f2:f5",-62.0885116520517,2.85743087073607,-21.7287887129384,6.52664397977915e-77
"f2:f6",28.7695421482922,2.85743087073607,10.0683248168594,4.5020576976776e-22
"f3:f4",46.9030327443329,2.85743087073607,16.4144068102165,5.90427512948116e-50
"f3:f5",79.9139900806632,2.85743087073607,27.967077313782,2.25351612033943e-109
"f3:f6",-46.6001193351506,2.85743087073607,-16.3083978032149,1.93788508120887e-49
"f4:f5",78.5024191105685,2.85743087073607,27.4730772718034,8.01910754300898e-107
"f4:f6",-45.2181343760184,2.85743087073607,-15.8247518213346,4.23168396824777e-47
"f5:f6",-78.2248983342329,2.85743087073607,-27.3759547904941,2.54962603765899e-106
"f1:f2:f3",-0.357136842100108,2.85743087073607,-0.124985295622606,0.900578798896065
"f1:f2:f4",1.04832896644427,2.85743087073607,0.366878155191982,0.713844644249121
"f1:f2:f5",-31.9682116134421,2.85743087073607,-11.1877462866519,1.98447895716731e-26
"f1:f2:f6",-1.31183400626496,2.85743087073607,-0.459095623169715,0.646338696991135
"f1:f3:f4",16.8105822726223,2.85743087073607,5.88311074986457,6.8323002178617e-09
"f1:f3:f5",49.7881881952827,2.85743087073607,17.4241094352205,6.2908336145506e-55
"f1:f3:f6",-16.5366815001028,2.85743087073607,-5.78725514218406,1.17569095822581e-08
"f1:f4:f5",48.4003698289655,2.85743087073607,16.938421966617,1.59494274400186e-52
"f1:f4:f6",-15.1442088170841,2.85743087073607,-5.29993882693057,1.65240907638482e-07
"f1:f5:f6",-48.1264040237408,2.85743087073607,-16.8425435997839,4.72852694012776e-52
"f2:f3:f4",16.4972445392207,2.85743087073607,5.77345359713671,1.27047603623215e-08
"f2:f3:f5",-16.5147302058357,2.85743087073607,-5.77957296359072,1.22756538391703e-08
"f2:f3:f6",49.8127615900977,2.85743087073607,17.4327092565028,5.70100063257116e-55
"f2:f4:f5",-15.0887089637627,2.85743087073607,-5.28051583619796,1.82851143211312e-07
"f2:f4:f6",48.4113625491701,2.85743087073607,16.9422690308863,1.5268230804513e-52
"f2:f5:f6",81.3917058203929,2.85743087073607,28.4842256916705,4.89207460490748e-112
"f3:f4:f5",-65.9175573170823,2.85743087073607,-23.0688196142089,6.83902938467873e-84
"f3:f4:f6",32.6819939026109,2.85743087073607,11.4375449069717,1.93107762605269e-27
"f3:f5:f6",-0.362122528029455,2.85743087073607,-0.126730109812306,0.899198239410301
"f4:f5:f6",1.06343395448576,2.85743087073607,0.372164368131089,0.709907355676221
"f1:f2:f3:f4",-13.6202294038155,2.85743087073607,-4.76659979539836,2.37553244705233e-06
"f1:f2:f3:f5",-46.581678225797,2.85743087073607,-16.3019440655086,2.08311223241048e-49
"f1:f2:f3:f6",79.913603769479,2.85743087073607,27.9669421184959,2.25713723368757e-109
"f1:f2:f4:f5",-45.203548530712,2.85743087073607,-15.8196472900384,4.47774420297878e-47
"f1:f2:f4:f6",78.4942991578226,2.85743087073607,27.4702355747989,8.29508482305766e-107
"f1:f2:f5:f6",111.542866612114,2.85743087073607,39.036068292837,6.37442253088824e-164
"f1:f3:f4:f5",-35.8452519273184,2.85743087073607,-12.544573621858,4.38807412043327e-32
"f1:f3:f4:f6",2.5361324495176,2.85743087073607,0.887556887374251,0.375149603763269
"f1:f3:f5:f6",-30.492427311386,2.85743087073607,-10.6712738438117,2.21100490971654e-24
"f1:f4:f5:f6",-29.0856496079133,2.85743087073607,-10.1789512760534,1.72407888048851e-22
"f2:f3:f4:f5",2.56226863269397,2.85743087073607,0.89670362945086,0.370251697819812
"f2:f3:f4:f6",-35.8598971726303,2.85743087073607,-12.5496989410606,4.17064322264159e-32
"f2:f3:f5:f6",-2.78736821960078,2.85743087073607,-0.975480543780488,0.32973143882974
"f2:f4:f5:f6",-4.23513267118665,2.85743087073607,-1.48214702744346,0.138848044641629
"f3:f4:f5:f6",-13.5896203842968,2.85743087073607,-4.75588771839515,2.50000621499602e-06
"f1:f2:f3:f4:f5",32.6637892475511,2.85743087073607,11.4311739199265,2.05011459392214e-27
"f1:f2:f3:f4:f6",-65.9375315987808,2.85743087073607,-23.0758099081485,6.2881763146012e-84
"f1:f2:f3:f5:f6",-32.9598246652709,2.85743087073607,-11.5347758725587,7.73087743335779e-28
"f1:f2:f4:f5:f6",-34.3148422493212,2.85743087073607,-12.0089842245184,8.32271213689965e-30
"f1:f3:f4:f5:f6",16.4739262132827,2.85743087073607,5.76529300568486,1.329980135491e-08
"f2:f3:f4:f5:f6",16.7870152517222,2.85743087073607,5.87486312394949,7.16104957416304e-09
"f1:f2:f3:f4:f5:f6",46.8950841598672,2.85743087073607,16.4116250860645,6.0915266593503e-50
