f1,f2,f3,f4,f5,f6,time
1,-1,-1,1,1,1,1267
1,-1,-1,1,1,1,1162
1,-1,-1,1,1,1,1112
1,-1,-1,1,1,1,1470
1,-1,-1,1,1,1,1179
1,-1,-1,1,1,1,1352
1,-1,-1,1,1,1,1153
1,-1,-1,1,1,1,1141
1,-1,-1,1,1,1,1505
1,-1,-1,1,1,1,2266
-1,1,-1,1,1,-1,700
-1,1,-1,1,1,-1,30388
-1,1,-1,1,1,-1,945
-1,1,-1,1,1,-1,1090
-1,1,-1,1,1,-1,761
-1,1,-1,1,1,-1,923
-1,1,-1,1,1,-1,2943
-1,1,-1,1,1,-1,691
-1,1,-1,1,1,-1,1022
-1,1,-1,1,1,-1,894
-1,1,1,1,-1,1,1048
-1,1,1,1,-1,1,950
-1,1,1,1,-1,1,1056
-1,1,1,1,-1,1,964
-1,1,1,1,-1,1,1473
-1,1,1,1,-1,1,909
-1,1,1,1,-1,1,1293
-1,1,1,1,-1,1,739
-1,1,1,1,-1,1,739
-1,1,1,1,-1,1,778
1,1,-1,-1,1,-1,899
1,1,-1,-1,1,-1,918
1,1,-1,-1,1,-1,1523
1,1,-1,-1,1,-1,1421
1,1,-1,-1,1,-1,1235
1,1,-1,-1,1,-1,1161
1,1,-1,-1,1,-1,1245
1,1,-1,-1,1,-1,1364
1,1,-1,-1,1,-1,953
1,1,-1,-1,1,-1,880
-1,-1,1,-1,1,-1,1121
-1,-1,1,-1,1,-1,849
-1,-1,1,-1,1,-1,971
-1,-1,1,-1,1,-1,1285
-1,-1,1,-1,1,-1,1331
-1,-1,1,-1,1,-1,7565
-1,-1,1,-1,1,-1,1383
-1,-1,1,-1,1,-1,1006
-1,-1,1,-1,1,-1,1831
-1,-1,1,-1,1,-1,1019
-1,1,1,-1,-1,-1,9935
-1,1,1,-1,-1,-1,868
-1,1,1,-1,-1,-1,927
-1,1,1,-1,-1,-1,914
-1,1,1,-1,-1,-1,1057
-1,1,1,-1,-1,-1,1013
-1,1,1,-1,-1,-1,871
-1,1,1,-1,-1,-1,991
-1,1,1,-1,-1,-1,859
-1,1,1,-1,-1,-1,979
1,-1,-1,-1,-1,-1,1208
1,-1,-1,-1,-1,-1,942
1,-1,-1,-1,-1,-1,1099
1,-1,-1,-1,-1,-1,810
1,-1,-1,-1,-1,-1,1552
1,-1,-1,-1,-1,-1,980
1,-1,-1,-1,-1,-1,1172
1,-1,-1,-1,-1,-1,920
1,-1,-1,-1,-1,-1,917
1,-1,-1,-1,-1,-1,1100
-1,1,1,1,1,1,3502
-1,1,1,1,1,1,1157
-1,1,1,1,1,1,1116
-1,1,1,1,1,1,1143
-1,1,1,1,1,1,1220
-1,1,1,1,1,1,1365
-1,1,1,1,1,1,1120
-1,1,1,1,1,1,1055
-1,1,1,1,1,1,1176
-1,1,1,1,1,1,2214
1,-1,-1,1,-1,-1,1530
1,-1,-1,1,-1,-1,967
1,-1,-1,1,-1,-1,1045
1,-1,-1,1,-1,-1,2201
