Sudoku,Time(s)
..315..7.65..4..2.17.8.....32....7.68.......94.7....13.....5.37.1..2..45.3..718..,700
.....8.96.9..614...1..3..282.6....194.......593....6.778..2..3...918..6.16.4.....,30192
8.41......5.28.4..1.9.6.2..4.2....897.......538....6.4..6.9.1.3..8.12.4......58.2,975
.....3.426...9..872...741...82....16.5.....3.41....29...342...197..6...412.7.....,1143
2..497...4.......26.5...7..32..5.....49...83.....6..45..8...6.71.......3...326..8,819
..57.6...7...3......14..6.3.....7.494.7...1.821.9.....6.2..14......6...5...5.93..,1045
...6.....4638..95..8..24....9.1..24.61.....93.47..9.1....95..8..58..1439.....8...,929
.21.4...3.3..82....7..359..58...4.2..1.....9..6.8...14..837..4....49..3.3...5.17.,1119
.5832....912.......6.1..8....4..2.83..9...4..23.8..5....7..9.1.......347....4795.,3758
.5..72......1.5.821..4.8...6......7..14...83..2......5...3.7..823.5.1......29..5.,961
..92.6.....3.5..8..823..9.....73...85.......13...41.....1..379..9..7.8.....8.92..,895
..5.91...7.9..5...6..4.7.9...6..2..94.1...7.32..3..6...8.7.4..1...9..4.2...21.3..,670
236...58...78..6..4...2.1...2...84.35.......86.13...9...5.3...6..4..78...62...347,1279
....12.788....4.9.......541.821....66.......57....812.263.......4.5....357.36....,934
..61....3.4.7...5.3...5...44.....5.1.2..3..8.1.3.....96...1...2.1...9.7.9....43..,1314
7...8...4.2.9....7..41..8..4......89..6.7.3..97......5..9..51..5....4.7.2...9...6,1233
.4.5.7...1......7.7352.....8..7...5..5..2..4..2...8..3.....5921.8......4...1.9.8.,1071
75...3...1.....7....427..8.9..5....45...2...74....8..6.7..456....3.....8...3...92,1136
..23...7.1..4....8.7..8..1..1....83.9...7...5.37....6..2..3..9.3....6..4.6...17..,1089
..46..2..1..3...6..8..2..5..6.....21..7.1.8..92.....3..3..9..1..1...2..5..9..43..,1018
98.6..4....6..21....73....9.......98..4.2.7..26.......7....18....27..3....5..4.72,1166
..95...3.43.6..8....6..12.........43..8.1.9..61.........19..5....7..8.19.9...24..,1434
.4.3..1....8.1...3...5.46......7.2..68..2..35..2.5......59.1...2...8.3....6..5.8.,2138
......6...78.9.....3...6.58.8...7..17..3.1..94..8...6.86.2...1.....6.53...2......,1329
........1..3..187.7.2.4......7..2.9..2.3.9.4..6.7..1......1.3.8.715..9..5........,1571
.173............92.9.4....6....2..83.2..8..6.13..6....7....5.4.24............792.,1162
7....3.1......8...38..2.9....6.1...29..8.2..18...7.5....1.9..86...2......7.1....5,1091
...5.4..3...9....2.16....9..4..8.3..5..6.3..7..3.5..8..7....93.9....6...1..4.8...,1648
..6....9...4..2.3.7..9....8..8..7..95..3.9..43..2..5..4....3..2.1.5..7...3....4..,2200
5..3.1...2....4.....4...67..5..9.3..8..5.7..1..9.1..5..45...8.....7....4...9.3..6,1570
..12....9.5.6.8.......1.4..2..5..1..36..4..25..7..6..8..3.6.......7.5.3.7....36..,1075
6.....9877..1..3....2.......1.43.5.....296.....4.18.6.......6....9..4..8187.....4,829
4....17....2.7.......6.3.9...7..9..191..2..356..3..8...5.9.8.......3.5....35....8,1312
...7.4.5.1....93....6.3......3..5..959..6..427..4..8......4.2....42....8.2.5.8...,1046
.2..6.......4.12..4....2.6..4...6..72.6.9.5.15..1...3..3.5....8..16.7.......3..9.,890
1...3......4..8.5....95.8..3.91....8.4..2..3.6....35.1..7.16....2.4..3......9...5,1265
4...7.......3.5.9...6..8..77....98...89.4.25...35....15..2..1...2.9.1.......5...2,1683
..79....8....3..4.9...71....9...4.31..3.6.8..74.3...2....24...5.7..1....3....86..,2217
.84365.7...5...8....3..1.2....85.1.7...2.6...4.8.73....5.7..2....1...7...4.53961.,961
...5...6..95.67...2......9.6.4.2.758..84.36..951.8.4.2.7......4...87.92..1...4...,1499
5...4....4.197.....37....6.3.5.......8613549.......5.2.7....31.....937.8....1...9,933
..6.3425...4.5....18...2..34.8....7..3.....1..1....9.86..2...37....7.1...5316.8..,1629
6...5....4...8..15..31..89..7......81.9...4.62......7..47..12..91..7...4....6...7,1782
2..74..86.7....2......2917.93........4.695.3........47.6498......7....9.39..74..8,1081
6...5....4...8..15..31..89..7......81.9...4.62......7..47..12..91..7...4....6...7,1021
...6....7..6.....541..59....64.9.172.8.3.6.9.259.4.86....58..211.....4..8....2...,1054
..9..4..76.2387..1..4...6.....84.51....2.9....46.75.....5...7..4..7281.59..6..8..,834
..4...........2318..197.56..9.24.75.....5.....25.17.9..16.982..8425...........1..,700
....7.4...69.4.8..48...6..3..3....4.9.6...7.8.4....1..2..6...91..8.1.56...7.5....,755
..4.6......2.7496.35...9..74.5....1..7.....3..3....8.52..9...71.6732.5......1.3..,1192
.37...6..1...7....26.31....94........5143728........43....61.75....5...4..8...36.,680
....9...6..64.3.1.2......5.5.3.68..2..4...9..1..75.8.3.4......1.1.6.24..9...4....,1104
.1.73.8...6591....7....8.........942.5.....3.398.........1....3....2758...4.96.2.,2619
.7...54.9.3..7........14.73...79....31..8..46....36...79.25........6..8.2.18...5.,914
896.....1....9....214.6.3.....7..1593.......4781..5.....7.1.523....3....1.....948,995
6...5....38.4....6.246..5...4.9.12......7......63.8.7...2..634.4....5.19....1...5,790
.4527....2.39...4.....4..5.....34....21.6.57....15.....6..1.....9...68.7....9843.,845
2.85....9.794...3.5...8......16.7.4.....1.....3.8.29......5...4.5...439.4....96.7,767
.5.8..4.61.6.4..92.29....35....14...2.......1...23....84....16.91..8.2.77.2..1.8.,757
.49...2.1.21.8..6787...54.....86.....6.....2.....92.....56...3223..5.61.6.7...85.,907
.2.....693.7..8412...7.......5.91..3.........4..63.5.......6...1495..6.826.....5.,908
1...746.5...91.473..4....1..8..9.5.....3.5.....3.2..6..7....8..851.32...4.218...7,854
...2....8....4935..1..764..837........5...8........174..298..3..5672....9....3...,1066
...16.348.8....5..5...84.19..2.1..6....3.6....3..7.8..32.95...4..4....9.695.47...,1066
814...2.6..6.1..7.2....49.1...4...8....9.6....5...3...9.32....7.4..7.3..1.7...549,23555
2.63.7...7.5.1.93..3.6.......7.4....658...427....7.3.......1.9..72.6.1.3...5.86.4,783
....7......18.96.......2.574...3.1.67...5...83.9.6...524.6.......81.37......2....,1268
4..2.6..8....1.........371..5..3..29.8..5..4.63..2..7..451.........4....3..9.8..6,971
1....7.6.5..8..9....3...4....8.7..1.36..1..24.2..9.6....6...8....5..9..7.3.2....6,811
....72.54..1.8..3.......8...4.8....15..461..32....9.7...4.......3..1.2..69.25....,768
2....31...7.....2.9..8...4..2..8.3..5.3.6.2.1..6.9..7..8...7..4.5.....1...29....6,930
.....6.53....3......18.24..9...7.1.43...5...87.2.4...5..81.73......6....69.4.....,1083
.8.......3.961....4...2..6...6..3..7..18924..8..5..2...2..5...4....768.1.......5.,896
......6....4.6..8.....59.13.3.6....41..324..89....7.5.27.91.....8..4.9....3......,917
..8...5.4...643.9........6..852..3...7..3..4...2..968..9........2.971...1.6...7..,1100
....872..4......1....6..3.8...97.4..7.3.5.6.1..4.21...8.9..2....2......7..543....,1149
1.8..2....3......6..471......6.75...3.2.9.8.7...34.6......869..7......4....4..5.1,913
6..7......146..8.92.915....5.....62...........21.....5....345.61.5..624......2..7,1049
94.2..8....7..3....23..45..374.......1.....2.......469..26..78....3..6....6..2.34,1171
8.72...5..32..7.4..9...3...379........1...2........678...3...6..2.6..59..6...23.7,1289
56...3.9..82...3.1....1...56...38.5...........7.25...99...7....7.3...92..1.6...73,1157
...9.......9.247....37.1.8267.5.3...............2.6.3591.3.76....746.1.......2...,1112
5..7..4...18..4..7....82...3591.....4.......6.....7359...42....9..3..84...4..1..3,1179
.6......1957..2.......3.8.5.189...7.7.......2.2...168.1.6.8.......4..2164......5.,2093
.528.1.....9.3..25..39....8...2..3..8.......6..7..4...9....81..27..1.4.....3.259.,1028
...4..3..1...36....93.175...3.1..4....7...6....1..9.5...486.73....72...4..2..3...,1333
.1..72...7.8.19..5...3....7..71....39.......21....85..4....7...3..62.7.9...94..3.,1144
..28.9.61..6.248.....5.....39.2.5...............9.3.82.....1.....845.1..57.6.89..,1167
9.....83...61.8..9.....7.4.8.9......5.79.21.8......9.2.9.7.....7..2.65...85.....7,7234
.......12..653..9..7.89.5....4.8.9.7.........7.8.5.3....7.69.5..6..754..59.......,903
.....4...16.8.93....973.1.....4.3.28.........93.2.8.....6.479....89.1.45...6.....,988
......4.39..86..7..5.72...6.1..8.96...........89.7..2.5...97.1..9..56..76.7......,1180
.1.6..4..9..7....1.4..38...2....3...8.9.6.7.3...4....5...58..9.5....6..4..1..2.7.,995
.2...51..5...78.3.1.8........9.4.6..6...3...2..2.1.4........5.9.8.75...6..72...4.,1791
.8....6.2.2..3.....6..4..7.6..9..1....58217....7..6..4.7..1..5.....8..3.9.3....1.,865
7....1..2..9..3.5....78..6....2....78.6.1.5.43....4....2..48....9.1..2..6..5....9,802
...8....9..89...7...31..4..5....4..66.2.1.9.77..2....3..5..12...6...91..4....5...,813
8.75..1....9.4..7....9...8.3.5....1...4.1.2...9....7.6.3...7....1..8.5....8..69.2,840
..4.28....78.6...3.....47.2.16......9...4...6......17.1.94.....7...1.54....53.9..,824
5....3..81....4.5...9.2..6.....3.5.2.2.....7.4.1.7.....1..9.6...6.5....18..2....9,1748
.6.3.5....4...7...1.2...5....8..3.7.4..9.2..6.2.6..9....5...4.8...7...1....8.9.3.,1308
1.3...8...5.6.8....7...2.....9..6.2.7..4.3..5.3.5..4.....2...1....9.4.6...8...7.9,1563
.1.....7.8..6.5..2....2.....6.8.1.5...4...3...9.2.7.6.....9....5..3.2..8.7.....9.,1207
.....7.9..158.....96...51...4......9.28.4.67.1......3...42...17.....658..7.5.....,1261
.8........7...2..54123..89...59.......3.5.1.......42...58..64239..2...8........7.,1310
..87..5.2.4.3.......5...36489.........3.2.7.........96719...6.......2.3.5.2..98..,998
..75....3...8...4948..2..15.92..........1..........15.24..9..8671...6...6....52..,747
.2.9.......63..9.7..8...31483.........4.9.2.........36582...7..9.7..46.......2.5.,1149
.38..59761..7..2........3.......8.1..9..1..5..7.6.......2........3..7..85674..13.,1090
.8...49..6451...78.2.......4..6.....3...7...5.....9..7.......8.89...5634..74...2.,1320
943.....77.5..1..2.....9.3.......26.1...5...9.64.......9.5.....2..6..7.54.....186,962
18...7.5......42..246....8.......3.5.7..1..4.6.3.......6....937..41......5.3...18,1212
87...9.1.246....7......42........5.1.9..8..4.6.5........48......6....359.1.5...87,1357
..81.23.........48...9..16.2.7..3....5.....7....6..8.5.13..9...59.........67.12..,1325
2..4.3..7.85......9.3..5......2...81..8...4..47...9......5..2.3......61.1..3.7..9,1587
5..9.1..7......52....4...896.1..7....3.....6....8..3.579...4....43......8..6.9..1,1047
...14.2.....8.6.97.......8..615....4..5...8..8....295..7.......25.6.7.....6.39...,1576
58.2..4.6..2..8...3....4....197.5..3.2..9..8.8..1.697....6....9...8..7..9.8..7.12,1469
3..9167..1....4...5..37..1..1....36..5.....4..23....7..7..51..4...6....7..1427..5,847
.478.2.51..13.5...8....6....2..8....1.8...6.2....2..8....4....8...7.92..75.2.814.,695
72...5..9.952..1....3.4....46..9.......1.8.......5..26....8.6....8..351.5..9...38,1106
....372.9....4..5.1...28..3..5...98....3.5....17...3..6..29...1.3..8....8.175....,972
.9143....7...1......856.9..94.....7....7.3....3.....61..9.517......2...3....7465.,35563
..6.85..9...1....6.8.764..5.57...6....1...9....8...25.9..821.6.8....7...1..69.8..,765
.1948..5.7.........5..738.11.....2.....3.2.....4.....64.653..2.........3.3..2467.,817
....1.29....9.6....78.2.6.1.14.....63.......86.....52.1.2.6.87....2.8....86.9....,1488
...5.6...6.2.9.....95.2.3.1.5....7.9.3.....4.2.8....5.1.3.5.29.....6.5.3...3.2...,852
....1.29....9.6....78.2.6.1.14.....63.......86.....52.1.2.6.87....2.8....86.9....,1488
..7.....89....5.6.18..........52.74..564.783..48.16..........27.2.7....54.....3..,855
...7.8...72..6.5.86.8.9.....6....7.4.1.....8.3.2....6.....2.9.78.5.7..26...9.6...,1473
4.....6.........45.3.9....1.26.89....746.239....35.42.9....6.8.68.........7.....2,1423
7.5.......9....7....6..1..3...18..9413.4.9.7247..53...8..9..1....4....2.......9.8,915
.5....19.....943.5.....8..67.....6..48.6.2.53..6.....16..9.....9.145.....38....6.,916
3.195...42..4.1.9........5.1..8.456..9.....3..632.7..8.3........1.7.8..37...638.1,962
7....2...25.7....4....6827.63.9.5.4.1.......8.7.3.4.92.6182....3....9.27...1....9,776
..........4631587..9..8..4..8.....2..27.4.53..3.....8..1..6..9..5479826..........,1453
.2.6..71.....3.2..9...82.5423..4...1....5....5...6..7268.57...9..4.1.....19..8.6.,1028
....4637.14.5....95....3...45.8.9.1.6.......3.8.2.5.97...4....18....1.24.1467....,1467
...4...8.2.47..6..5...3.2.1...8...7.4.95.31.8.7...6...1.5.2...7..8..79.4.4...8...,1632
..2..1.......95.169.72..8..2.94.8..7..5...1..4..3.26.8..4..79.379.56.......9..7..,1077
..4.8.53....6....9.294...6....1....4.567.392.4....6....1...489.6....9....85.7.3..,740
5..28..7117.4.35.......7...8.36....9.........9....17.2...8.......15.9.4768..14..5,841
3.95....1...1...9...5.6.4.2...8...5.4.17.29.3.5...1...6.4.7.2...1...9...8....56.9,774
..8..7....5....9...6.2.581.5.1..634..8.....5..328..7.9.194.2.8...3....9....9..1..,1121
...6..5..4...1..3236.8...9....5..8..67.4.1.25..8..9....5...8.7624..3...8..6..5...,605
....8613.5.89....29....3...8.97.25..6.......3..74.92.1...8....57....54.8.8561....,1198
...6.9.1.3.1.7..8..56..37.........54..4...6..69.........78..52..3..6.4.1.1.2.7...,937
5.4..2.672..6..8..3....7.....8...9..15.....76..9...2.....3....2..3..8..471.2..5.3,1300
16.9.47.22....51.........59.....28.7.........9.67.....57.........91....34.35.9.68,1071
