"","Df","Sum Sq","Mean Sq","F value","Pr(>F)",SSA/SST (out of 1),pSSA/SST (ppercentage) OR Percentage contributionp,F-Test Passed factors
"f1",1,11012141.2515625,11012141.2515625,1.2343160788,0.2670328428,0.0019391497,0.19391497,FALSE
"f2",1,443470.951562501,443470.951562501,0.0497072562,0.8236524943,7.80916772466887E-005,0.0078091677,FALSE
"f3",1,2765050.7640625,2765050.7640625,0.3099257936,0.5779419521,0.0004869033,0.04869033,FALSE
"f4",1,535401.751562501,535401.751562501,0.0600114887,0.806565031,0.00009428,0.009428,FALSE
"f5",1,14445335.6265625,14445335.6265625,1.6191319762,0.203726275,0.0025437077,0.25437077,FALSE
"f6",1,1816357.8515625,1816357.8515625,0.203589806,0.6520085503,0.000319846,0.0319846,FALSE
"f1:f2",1,15171772.6890625,15171772.6890625,1.7005560086,0.192736159,0.0026716275,0.26716275,FALSE
"f1:f3",1,1465262.7015625,1465262.7015625,0.1642366612,0.6854359788,0.000258021,0.0258021,FALSE
"f1:f4",1,5114216.43906249,5114216.43906249,0.5732363431,0.4492853303,0.0009005725,0.09005725,FALSE
"f1:f5",1,273447.5640625,273447.5640625,0.0306498725,0.8610853279,4.81519225586807E-005,0.0048151923,FALSE
"f1:f6",1,42943754.8265626,42943754.8265626,4.8134296368,0.0286375172,0.0075620507,0.75620507,TRUE
"f2:f3",1,2464005.50156251,2464005.50156251,0.2761825824,0.5994165184,0.0004338916,0.04338916,FALSE
"f2:f4",1,3412166.1890625,3412166.1890625,0.3824589146,0.5365346634,0.0006008551,0.06008551,FALSE
"f2:f5",1,579304.726562502,579304.726562502,0.0649324343,0.7989542887,0.0001020109,0.01020109,FALSE
"f2:f6",1,22108344.3765625,22108344.3765625,2.478054387,0.1159940564,0.0038931021,0.38931021,FALSE
"f3:f4",1,1855347.9390625,1855347.9390625,0.2079600816,0.6485428727,0.0003267119,0.03267119,FALSE
"f3:f5",1,9232087.0140625,9232087.0140625,1.03479543,0.3094620969,0.0016256965,0.16256965,FALSE
"f3:f6",1,503273.139062501,503273.139062501,0.0564102942,0.8123467693,8.86223627593289E-005,0.0088622363,FALSE
"f4:f5",1,4170414.9515625,4170414.9515625,0.4674486199,0.4944382126,0.0007343766,0.07343766,FALSE
"f4:f6",1,10094974.4390625,10094974.4390625,1.131513752,0.2878984161,0.001777644,0.1777644,FALSE
"f5:f6",1,517278.164062505,517278.164062505,0.0579800731,0.8098031609,9.10885353198511E-005,0.0091088535,FALSE
"f1:f2:f3",1,7576614.4140625,7576614.4140625,0.849238743,0.3571535968,0.001334181,0.1334181,FALSE
"f1:f2:f4",1,5678941.2015625,5678941.2015625,0.6365345554,0.4252972641,0.001000016,0.1000016,FALSE
"f1:f2:f5",1,9522588.26406249,9522588.26406249,1.0673567962,0.3019768195,0.0016768514,0.16768514,FALSE
"f1:f2:f6",1,1248827.25156251,1248827.25156251,0.1399770963,0.7084414659,0.0002199085,0.02199085,FALSE
"f1:f3:f4",1,26078616.3765625,26078616.3765625,2.9230696165,0.0878601795,0.0045922352,0.45922352,FALSE
"f1:f3:f5",1,5553044.10156251,5553044.10156251,0.6224231477,0.4304728532,0.0009778465,0.09778465,FALSE
"f1:f3:f6",1,15816520.8140625,15816520.8140625,1.7728237865,0.1835596882,0.0027851624,0.27851624,FALSE
"f1:f4:f5",1,8100675.01406251,8100675.01406251,0.9079790379,0.3410508972,0.0014264639,0.14264639,FALSE
"f1:f4:f6",1,10000750.0140625,10000750.0140625,1.1209524342,0.2901572502,0.0017610519,0.17610519,FALSE
"f1:f5:f6",1,8210851.6890625,8210851.6890625,0.9203283929,0.3377912698,0.0014458651,0.14458651,FALSE
"f2:f3:f4",1,18116823.5015625,18116823.5015625,2.0306574383,0.1546955199,0.0031902273,0.31902273,FALSE
"f2:f3:f5",1,398950.689062503,398950.689062503,0.0447171208,0.8325998383,0.000070252,0.0070252,FALSE
"f2:f3:f6",1,9251313.76406249,9251313.76406249,1.0369504956,0.3089592869,0.0016290821,0.16290821,FALSE
"f2:f4:f5",1,23641753.2015625,23641753.2015625,2.6499293316,0.1041013284,0.0041631231,0.41631231,FALSE
