"","Estimate","Std. Error","t value","Pr(>|t|)",Confidence Interval,
p"(Interceppt)"p,1445.5671875,118.0681359092,12.2434997078,8.50795356107041E-031,-4316339.05519157,4317902.69051498
"f1",131.1734375,118.0681359092,1.1109977852,0.2670328428,-391672.580963988,391921.822537397
"f2",-26.3234375,118.0681359092,-0.2229512416,0.8236524943,78599.5160450778,-78507.7713466686
"f3",-65.7296875,118.0681359092,-0.556709793,0.5779419521,196263.182849664,-196210.844401255
"f4",-28.9234375,118.0681359092,-0.2449724244,0.806565031,86362.8919991948,-86273.7473007856
"f5",150.2359375,118.0681359092,1.2724511685,0.203726275,-448591.563319895,448859.867393304
"f6",53.2734375,118.0681359092,0.4512092707,0.6520085503,-159069.893723329,159241.235296738
"f1:f2",-153.9671875,118.0681359092,-1.3040536832,0.192736159,459732.754292509,-459768.6533441
"f1:f3",-47.8484375,118.0681359092,-0.4052612259,0.6854359788,142871.311203681,-142801.091505272
"f1:f4",-89.3921875,118.0681359092,-0.7571237304,0.4492853303,266917.368816699,-266888.69286829
"f1:f5",-20.6703125,118.0681359092,-0.1750710498,0.8610853279,61719.7719333019,-61622.3741098927
"f1:f6",259.0359375,118.0681359092,2.1939529705,0.0286375172,-773458.987861407,773836.091934816
"f2:f3",62.0484375,118.0681359092,0.5255307626,0.5994165184,-185271.287568474,185451.404141883
"f2:f4",73.0171875,118.0681359092,0.6184326274,0.5365346634,-218023.029874905,218214.115198314
"f2:f5",-30.0859375,118.0681359092,-0.254818434,0.7989542887,89834.0168248339,-89746.0346264247
"f2:f6",-185.8609375,118.0681359092,-1.5741837209,0.1159940564,554964.743460442,-555032.536262033
"f3:f4",53.8421875,118.0681359092,0.4560264045,0.6485428727,-160768.132213292,160940.042536702
"f3:f5",-120.1046875,118.0681359092,-1.0172489518,0.3094620969,358622.247274707,-358624.283826298
"f3:f6",-28.0421875,118.0681359092,-0.2375085139,0.8123467693,83731.5554378235,-83641.5294894143
"f4:f5",-80.7234375,118.0681359092,-0.6837021427,0.4944382126,241033.228315834,-240995.883617425
"f4:f6",-125.5921875,118.0681359092,-1.063726352,0.2878984161,375007.449408638,-375014.973460229
"f5:f6",28.4296875,118.0681359092,0.2407905171,0.8098031609,-84888.59704637,85035.0948697791
"f1:f2:f3",108.8046875,118.0681359092,0.9215415037,0.3571535968,-324881.421012583,325108.293835992
"f1:f2:f4",94.1984375,118.0681359092,0.7978311572,0.4252972641,-281268.41715496,281480.683728369
"f1:f2:f5",-121.9796875,118.0681359092,-1.0331296125,0.3019768195,364220.835703157,-364224.747254748
"f1:f2:f6",-44.1734375,118.0681359092,-0.374135131,0.7084414659,131898.07788392,-131824.183185511
"f1:f3:f4",201.8609375,118.0681359092,1.7096986917,0.0878601795,-602739.364716544,603059.293789953
"f1:f3:f5",-93.1484375,118.0681359092,-0.7889379872,0.4304728532,278133.207635028,-278108.287936618
"f1:f3:f6",-157.2046875,118.0681359092,-1.3314742906,0.1835596882,469399.6503123,-469438.786863891
"f1:f4:f5",-112.5046875,118.0681359092,-0.9528793407,0.3410508972,335929.302178057,-335923.738729648
