"","Estimate","Std. Error","t value","Pr(>|t|)",Confidence Interval,
p"(Interceppt)"p,7.0715169086,0.0177302454,398.8392008752,0,4.2747235388,9.8683102783
"f1",0.1040988969,0.0177302454,5.8712609146,7.52936409484266E-009,0.062927659,0.1452701347
"f2",0.0159585858,0.0177302454,0.9000769847,0.3684775448,0.0096469461,0.0222702255
"f3",0.0246620635,0.0177302454,1.3909600761,0.164806184,0.014908188,0.034415939
"f4",0.0249781275,0.0177302454,1.408786336,0.1594696594,0.0150992483,0.0348570067
"f5",0.0185069339,0.0177302454,1.0438058534,0.2970388363,0.0111874195,0.0258264484
"f6",0.0248020035,0.0177302454,1.3988528036,0.1624269898,0.0149927815,0.0346112254
"f1:f2",-0.006397156,0.0177302454,-0.3608047044,0.7183855082,-0.0038670731,-0.0089272388
"f1:f3",0.0008306218,0.0177302454,0.0468477345,0.9626517769,0.0005021099,0.0011591338
"f1:f4",0.0021827865,0.0177302454,0.123110903,0.9020647469,0.0013194918,0.0030460812
"f1:f5",-0.0377267493,0.0177302454,-2.1278187909,0.0338011129,-0.022805775,-0.0526477237
"f1:f6",0.0634539465,0.0177302454,3.5788532535,0.000375942,0.038357835,0.0885500579
"f2:f3",-0.0121559078,0.0177302454,-0.6856029068,0.4932556044,-0.0073482318,-0.0169635838
"f2:f4",-0.0026378614,0.0177302454,-0.1487774908,0.8817843466,-0.0015945841,-0.0036811388
"f2:f5",-0.0062306328,0.0177302454,-0.3514126659,0.7254148452,-0.0037664101,-0.0086948555
"f2:f6",-0.0178116612,0.0177302454,-1.0045919184,0.3155400212,-0.010767128,-0.0248561945
"f3:f4",0.0140935916,0.0177302454,0.7948898205,0.4270242505,0.0085195593,0.0196676239
"f3:f5",0.0083197483,0.0177302454,0.4692404507,0.63908578,0.005029278,0.0116102187
"f3:f6",0.0106237875,0.0177302454,0.5991900967,0.5492955718,0.0064220668,0.0148255081
"f4:f5",-0.0022956938,0.0177302454,-0.1294789643,0.8970265274,-0.0013877442,-0.0032036435
"f4:f6",-0.0083467813,0.0177302454,-0.4707651337,0.6379971678,-0.0050456194,-0.0116479433
"f5:f6",0.00162044,0.0177302454,0.0913941107,0.9272130844,0.0009795541,0.002261326
"f1:f2:f3",0.005840334,0.0177302454,0.3293994994,0.7419805321,0.0035304749,0.008150193
"f1:f2:f4",0.0103506146,0.0177302454,0.5837829274,0.5596083345,0.0062569342,0.014444295
"f1:f2:f5",0.0105412143,0.0177302454,0.594532902,0.5524029238,0.0063721514,0.0147102771
"f1:f2:f6",0.0043403758,0.0177302454,0.2448006585,0.8067030948,0.002623752,0.0060569995
"f1:f3:f4",0.0251713114,0.0177302454,1.4196820661,0.1562730369,0.0152160277,0.0351265951
"f1:f3:f5",-0.0139539455,0.0177302454,-0.7870136688,0.4316165931,-0.0084351434,-0.0194727476
"f1:f3:f6",-0.029466569,0.0177302454,-1.6619380259,0.0971012878,-0.0178125059,-0.0411206322
"f1:f4:f5",-0.0008167839,0.0177302454,-0.0460672621,0.963273545,-0.0004937449,-0.0011398229
"f1:f4:f6",-0.037949414,0.0177302454,-2.1403772536,0.0327682953,-0.0229403755,-0.0529584524
"f1:f5:f6",-0.003413441,0.0177302454,-0.1925208011,0.8474061235,-0.002063421,-0.0047634611
"f2:f3:f4",-0.0122717093,0.0177302454,-0.6921342043,0.4891483643,-0.0074182336,-0.017125185
"f2:f3:f5",-0.0075152748,0.0177302454,-0.4238674991,0.6718299963,-0.0045429746,-0.0104875749
"f2:f3:f6",0.0106194493,0.0177302454,0.5989454228,0.5494586066,0.0064194445,0.0148194542
"f2:f4:f5",0.0175504394,0.0177302454,0.9898587952,0.3226832068,0.0106092197,0.024491659
"f2:f4:f6",0.0101759363,0.0177302454,0.573930936,0.5662517488,0.0061513414,0.0142005313
"f2:f5:f6",-0.026211972,0.0177302454,-1.4783761539,0.1398858769,-0.0158451058,-0.0365788382
"f3:f4:f5",0.0311238961,0.0177302454,1.7554125976,0.079751575,0.0188143581,0.0434334342
"f3:f4:f6",0.0282398991,0.0177302454,1.5927528612,0.1117964939,0.0170709853,0.0394088129
"f3:f5:f6",0.000854648,0.0177302454,0.0482028314,0.9615722848,0.0005166337,0.0011926623
"f4:f5:f6",0.0254556026,0.0177302454,1.4357163156,0.1516578175,0.0153878814,0.0355233238
"f1:f2:f3:f4",-0.0262174608,0.0177302454,-1.478685725,0.1398031045,-0.0158484238,-0.0365864978
"f1:f2:f3:f5",0.0290648968,0.0177302454,1.6392833911,0.1017323883,0.0175696955,0.0405600982
"f1:f2:f3:f6",0.0079334372,0.0177302454,0.4474521914,0.6547267112,0.0047957533,0.011071121
"f1:f2:f4:f5",0.006239064,0.0177302454,0.3518881897,0.7250583823,0.0037715067,0.0087066212
"f1:f2:f4:f6",-0.0104156466,0.0177302454,-0.5874507837,0.55714474,-0.0062962459,-0.0145350472
"f1:f2:f5:f6",0.0214206282,0.0177302454,1.2081405345,0.2275181387,0.0129487442,0.0298925121
"f1:f3:f4:f5",-9.89056464911331E-005,0.0177302454,-0.0055783574,0.9955511828,-5.978834536407E-005,-0.0001380229
"f1:f3:f4:f6",-0.0140933624,0.0177302454,-0.7948768966,0.4270317625,-0.0085194208,-0.0196673041
"f1:f3:f5:f6",-0.0259219438,0.0177302454,-1.4620183298,0.1443136071,-0.0156697841,-0.0361741034
"f1:f4:f5:f6",-0.0200997682,0.0177302454,-1.1336429802,0.2574436722,-0.0121502859,-0.0280492505
"f2:f3:f4:f5",0.0120428207,0.0177302454,0.6792247066,0.4972843765,0.0072798708,0.0168057707
"f2:f3:f4:f6",-0.014744151,0.0177302454,-0.8315818886,0.4060098505,-0.0089128217,-0.0205754802
"f2:f3:f5:f6",0.0410536225,0.0177302454,2.3154570938,0.0209590107,0.0248168658,0.0572903791
"f2:f4:f5:f6",-0.0057553011,0.0177302454,-0.324603581,0.7456058988,-0.0034790727,-0.0080315296
"f3:f4:f5:f6",0.0043915587,0.0177302454,0.2476874199,0.8044697242,0.002654692,0.0061284255
