"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1445.5671875,118.068135909178,12.2434997077618,8.50795356107041e-31
"f1",131.1734375,118.068135909178,1.11099778521872,0.267032842816475
"f2",-26.3234375,118.068135909178,-0.222951241647864,0.823652494313323
"f3",-65.7296875,118.068135909178,-0.556709792983955,0.577941952121905
"f4",-28.9234375,118.068135909178,-0.244972424416431,0.806565030997244
"f5",150.2359375,118.068135909178,1.27245116849788,0.203726274968907
"f6",53.2734375,118.068135909178,0.451209270729739,0.652008550275506
"f1:f2",-153.9671875,118.068135909178,-1.30405368319219,0.192736159046204
"f1:f3",-47.8484375,118.068135909178,-0.405261225914557,0.685435978819189
"f1:f4",-89.3921874999999,118.068135909178,-0.757123730392113,0.44928533028881
"f1:f5",-20.6703125,118.068135909178,-0.175071049786882,0.861085327930839
"f1:f6",259.0359375,118.068135909178,2.1939529705056,0.0286375172039627
"f2:f3",62.0484375000001,118.068135909178,0.525530762573653,0.599416518445839
"f2:f4",73.0171875,118.068135909178,0.618432627378544,0.536534663385162
"f2:f5",-30.0859375,118.068135909178,-0.254818434019685,0.798954288703056
"f2:f6",-185.8609375,118.068135909178,-1.57418372085565,0.115994056385973
"f3:f4",53.8421875000001,118.068135909178,0.456026404460364,0.648542872722219
"f3:f5",-120.1046875,118.068135909178,-1.01724895184581,0.309462096860685
"f3:f6",-28.0421875,118.068135909178,-0.237508513910739,0.812346769268126
"f4:f5",-80.7234375,118.068135909178,-0.683702142651724,0.494438212561509
"f4:f6",-125.5921875,118.068135909178,-1.06372635201601,0.287898416120131
"f5:f6",28.4296875000001,118.068135909178,0.240790517111824,0.809803160889203
"f1:f2:f3",108.8046875,118.068135909178,0.921541503659346,0.357153596793794
"f1:f2:f4",94.1984375000001,118.068135909178,0.797831157192662,0.425297264063635
"f1:f2:f5",-121.9796875,118.068135909178,-1.03312961249622,0.301976819526739
"f1:f2:f6",-44.1734375000001,118.068135909178,-0.374135131039756,0.70844146591575
"f1:f3:f4",201.8609375,118.068135909178,1.70969869173913,0.0878601794857734
"f1:f3:f5",-93.1484375,118.068135909178,-0.788937987228433,0.430472853155147
"f1:f3:f6",-157.2046875,118.068135909178,-1.3314742905819,0.183559688200849
"f1:f4:f5",-112.5046875,118.068135909178,-0.952879340676153,0.341050897150399
"f1:f4:f6",-125.0046875,118.068135909178,-1.05875041167888,0.29015725021535
"f1:f5:f6",113.2671875,118.068135909178,0.959337476007319,0.337791269806702
"f2:f3:f4",-168.2484375,118.068135909178,-1.4250113818128,0.154695519920788
"f2:f3:f5",24.9671875,118.068135909178,0.211464230444068,0.83259983827018
"f2:f3:f6",120.2296875,118.068135909178,1.01830766255584,0.308959286945455
"f2:f4:f5",192.1984375,118.068135909178,1.62786035385403,0.104101328425515
"f2:f4:f6",74.5671875,118.068135909178,0.631560640182881,0.527924567840378
"f2:f5:f6",-193.5859375,118.068135909178,-1.63961204273533,0.101631854508135
"f3:f4:f5",118.2359375,118.068135909178,1.0014212267309,0.317043707957063
"f3:f4:f6",206.7296875,118.068135909178,1.75093547389469,0.080489334132938
"f3:f5:f6",-88.7421875000002,118.068135909178,-0.751618434699974,0.452587545158361
"f4:f5:f6",-70.3296874999999,118.068135909178,-0.595670347112957,0.551629446212451
"f1:f2:f3:f4",-95.2046875,118.068135909178,-0.806353778408381,0.42037168083484
"f1:f2:f3:f5",214.8109375,118.068135909178,1.81938112129796,0.0693723132194551
"f1:f2:f3:f6",71.9671875,118.068135909178,0.609539457414315,0.542407285460524
"f1:f2:f4:f5",70.1796875000001,118.068135909178,0.594399894260926,0.552478070883446
"f1:f2:f4:f6",67.9546875,118.068135909178,0.57555484362244,0.565140886523866
"f1:f2:f5:f6",7.66406249999983,118.068135909178,0.0649122004085444,0.948266428217025
"f1:f3:f4:f5",103.6546875,118.068135909178,0.877922622406223,0.380351755821534
"f1:f3:f4:f6",2.10468750000017,118.068135909178,0.0178260415800853,0.985783802750258
"f1:f3:f5:f6",-169.4671875,118.068135909178,-1.43533381123557,0.151734775478521
"f1:f4:f5:f6",-127.4671875,118.068135909178,-1.07960701266641,0.280769071517808
"f2:f3:f4:f5",-94.2984374999998,118.068135909178,-0.798678125760682,0.424806258121375
"f2:f3:f4:f6",-105.6296875,118.068135909178,-0.894650251624655,0.371347761538622
"f2:f3:f5:f6",195.1984375,118.068135909178,1.65326941089468,0.0988209246999661
"f2:f4:f5:f6",50.8859374999999,118.068135909178,0.430987896168218,0.666638410565845
"f3:f4:f5:f6",126.1734375,118.068135909178,1.06864935681763,0.285675344410722
"f1:f2:f3:f4:f5",-9.99218749999997,118.068135909178,-0.0846306873828032,0.9325844074946
"f1:f2:f3:f4:f6",-120.2296875,118.068135909178,-1.01830766255584,0.308959286945455
"f1:f2:f3:f5:f6",2.4609375,118.068135909178,0.0208433671036615,0.983377821436759
"f1:f2:f4:f5:f6",172.7359375,118.068135909178,1.46301909630278,0.144007590972407
"f1:f3:f4:f5:f6",-2.08906249999994,118.068135909178,-0.01769370274133,0.98588933137415
"f2:f3:f4:f5:f6",-41.9796875000001,118.068135909178,-0.355554758078778,0.722304199250001
"f1:f2:f3:f4:f5:f6",-116.9296875,118.068135909178,-0.990357699811116,0.322415151944242
